0.0000	1.0000
0.0002	3.0000
0.2225	3.0000
0.2263	1.0000
0.4358	3.0000
0.4423	2.0000
0.6683	3.0000
0.7839	2.0000
0.8861	3.0000
0.9926	2.0000
1.0922	3.0000
1.0994	1.0000
1.2175	1.0000
1.3029	3.0000
1.3119	2.0000
1.5369	3.0000
1.6482	2.0000
1.7517	3.0000
1.7541	1.0000
1.9701	3.0000
1.9722	1.0000
2.1928	3.0000
2.1952	2.0000
2.4239	3.0000
2.5353	2.0000
2.6413	3.0000
2.7376	2.0000
2.8481	1.0000
2.8499	3.0000
2.9737	1.0000
3.0604	3.0000
3.0685	2.0000
3.2904	3.0000
3.4037	2.0000
3.5009	3.0000
3.5046	1.0000
3.7238	3.0000
3.7264	1.0000
3.9393	3.0000
3.9486	2.0000
4.1636	3.0000
4.2749	2.0000
4.3794	3.0000
4.4858	2.0000
4.5808	3.0000
4.5874	1.0000
4.8094	3.0000
5.0150	3.0000
5.0250	2.0000
5.2438	3.0000
5.3580	2.0000
5.4527	3.0000
5.4583	1.0000
5.5697	1.0000
5.6595	3.0000
5.6640	2.0000
5.8914	3.0000
6.0028	2.0000
6.1155	3.0000
6.2112	2.0000
6.3084	1.0000
6.3084	3.0000
6.7433	3.0000
6.7476	2.0000
