0.0000	1.0000
0.0050	3.0000
0.1599	3.0000
0.3140	2.0000
0.3147	3.0000
0.4696	3.0000
0.5000	1.0000
0.6245	3.0000
0.7794	3.0000
0.7820	2.0000
0.9342	3.0000
1.0891	3.0000
1.2390	1.0000
1.2440	3.0000
1.3988	3.0000
1.5490	2.0000
1.5537	3.0000
1.7086	3.0000
1.8635	3.0000
2.0183	3.0000
2.0300	2.0000
2.1732	3.0000
2.3281	3.0000
2.3310	1.0000
2.4760	1.0000
2.4829	3.0000
2.6378	3.0000
2.7880	2.0000
2.7927	3.0000
2.9475	3.0000
2.9630	1.0000
3.1024	3.0000
3.2560	2.0000
3.2573	3.0000
3.4122	3.0000
3.5670	3.0000
3.7110	1.0000
3.7219	3.0000
3.8768	3.0000
4.0230	2.0000
4.0316	3.0000
4.1865	3.0000
4.3414	3.0000
4.4963	3.0000
4.5040	2.0000
4.6511	3.0000
4.8030	1.0000
4.8060	3.0000
